id,商品名,値段,カテゴリ
1,ピアスorイヤリング ほしかがみ<星鏡> 交差 両面カット ホログラム,29700,アクセサリー
2,ペンダント ほしかがみ<星鏡> 両面カット ホログラム,20020,アクセサリー
3,ぐい呑 星の影 口剥き 金紫,27060,酒器
4,ぐい呑み 星の影 口剥き 黒,27060,酒器
5,蓋物 碧空 青,88000,蓋物・容器
6,樽型グラス ゆめかわ 杏薔薇,77000,グラス
7,寸胴ロックグラス 夕陽影 黒×青,69300,グラス
8,天開ロックグラス 天夜灯<あまよい> アンバー,40040,グラス
9,ストレートロックグラス 舞 <ひらり>青,42900,グラス
10,ぐい呑み つながり アンバー,23650,酒器
11,ペンダント うすらい<薄氷> 星 両面カット 金赤,15400,アクセサリー
12,樽型グラス ゆめかわ ランタナ,77000,グラス
13,寸胴ロックグラス 夕陽影 黒×青×透明,69300,グラス
14,寸胴ロックグラス 夕陽影 緑×アンバー×透明,69300,グラス
15,寸胴ロックグラス 夕陽影 虹,77000,グラス
16,天開ロックグラス 天夜灯<あまよい> 金赤,40590,グラス
17,天開ロックグラス 天夜灯<あまよい> オレンジ,40040,グラス
18,寸胴ロックグラス 夕陽影 ゆめかわ,77000,グラス
19,寸胴ロックグラス 夕陽影 ゆめかわ,77000,グラス
20,天開ロックグラス 天夜灯<あまよい> 青,40040,グラス
21,天開ロックグラス 天夜灯<あまよい> 金赤,40590,グラス
22,天開ロックグラス 天夜灯<あまよい> 黄色,40040,グラス
23,天開ロックグラス 天夜灯<あまよい> アンバー,40040,グラス
24,ぐい呑 星の影 アンバー,22770,酒器
25,ぐい呑 常夜 アンバー,25300,酒器
26,ぐい呑 常夜 青,25300,酒器
27,ペンダント chocolate 星八角籠目 金紫,14300,アクセサリー
28,ペンダント ほしかがみ<星鏡> 八角籠目 金赤,14300,アクセサリー
29,ピアスorイヤリング うすらい<薄氷> 星 側面菱 青,17600,アクセサリー
30,ピアスorイヤリング うすらい<薄氷>  麻の葉 ホログラム,29700,アクセサリー
31,ストレートロックグラス しののめ 金赤×青,55000,グラス
32,寸胴ロックグラス 夕陽影 黒×金赤,68090,グラス
33,蓋物 碧空 青,88000,蓋物・容器
34,寸胴ロックグラス 夕陽影 ゆめかわ,77000,グラス
35,ぐい呑 dance ゆめかわ 虹色,46090,酒器
36,ぐい呑 波間 青×アンバー,33550,酒器
37,天開ロックグラス 夢の中 金赤×白,66000,グラス
38,ロックグラス 夕陽影 ゆめかわ 虹,77000,グラス
39,寸胴ロックグラス 夕陽影 黒×金赤×透明,69850,グラス
40,丸ペーパーウェイト 金赤,27000,文具・小物
41,ぐい呑 波間 金赤,28050,酒器
42,天開ロックグラス 夢の中 黄色,38500,グラス
43,小鉢 透華 白,25300,食器・小鉢
44,ピアスorイヤリング うすらい<薄氷>麻の葉 白×金赤,20020,アクセサリー
45,ぐい呑 つながり 金赤,24200,酒器
46,脚付グラス ゆめかわ,77000,グラス
47,ストレートロックグラス 舞<ひらり> アンバー,42900,グラス
48,ぐい呑 つながり 青,23650,酒器
49,ぐい呑 つながり 白,23650,酒器
50,タンブラー 舞<ひらり> 瑠璃,42900,グラス
51,中タンブラー しののめ 青,40040,グラス
52,ピアスorイヤリング うすらい<薄氷> 菊繋ぎ 金赤+アンバー,19250,アクセサリー
53,樽型グラス ゆめかわ ランタナ,78100,グラス
54,樽型グラス ゆめかわ 紫陽花,77000,グラス
55,ストレートロックグラス 舞<ひらり> 金紫,44000,グラス
56,ピアスorイヤリング うすらい<薄氷> 星 両面カット 青,17600,アクセサリー
57,ピアスorイヤリング ほしかがみ<星鏡> 八角籠目 青,16060,アクセサリー
58,天開ロックグラス 夢の中 アンバー,38500,グラス
59,ぐい呑 つながり アンバー×青,34100,酒器
60,ぐい呑 雪砂糖 青×白,33000,酒器
61,ショットグラス 菊矢来 透明,24200,グラス
62,ショットグラス 菊矢来 金赤×青,36080,グラス
63,ぐい呑 星の影 黒,25300,酒器
64,ぐい呑 つながり 金赤×白,34100,酒器
65,ぐい呑 星の影 アンバー×青,33000,酒器
66,ぐい呑 ゆめかわ dance 新緑,45000,酒器
67,ぐい呑 波間 青,25300,酒器
68,ぐい呑 星の影 青×アンバー,33000,酒器
69,ぐい呑 常夜 緑,25300,酒器
70,ピアスorイヤリング うすらい<薄氷> 八角籠目 両面カット ホログラム,32450,アクセサリー
71,切子ペンダント chocolate 側面菱 両面カット ホログラム,28050,アクセサリー
72,ピアスorイヤリング 星 金赤,15400,アクセサリー
73,ピアスorイヤリング ほしかがみ<星鏡> 八角籠目 ホログラム,29700,アクセサリー
74,ピアスorイヤリング うすらい<薄氷> 菊繋ぎ 両面カット ホログラム,31900,アクセサリー
75,ピアスorイヤリング うすらい<薄氷> 矢来 左右色違い 青 金紫,18700,アクセサリー
76,切子ペンダント うすらい<薄氷> 菊繋ぎ 金紫,14850,アクセサリー
77,ストレートロックグラス（小）舞 <ひらり> 青,41910,グラス
78,ロックグラス 花の宴 アンバー,32010,グラス
79,ストレートタンブラー しののめ 金赤,33660,グラス
80,ぐい呑 鳳凰 オレンジ〜赤,44000,酒器
81,寸胴ロックグラス 夕陽影 ゆめかわ,77000,グラス
82,ペンダント ほしかがみ<星鏡> 八角籠目 金紫,14000,アクセサリー
83,寸胴ロックグラス 夕陽影 ゆめかわ 虹,77000,グラス
84,寸胴ロックグラス 夕陽影 ゆめかわ 青系,77000,グラス
85,ぐい呑 ゆめかわ 紫陽花,45000,酒器
86,ぐい呑 ゆめかわ 虹,45000,酒器
87,小カップ 菊繋ぎ 矢来 虹,33000,グラス
88,ぐい呑 常夜 青×金赤,33000,酒器
89,蓋物  菊繋ぎ 菊籠目 青,88000,蓋物・容器
90,ショットグラス 青×アンバー,33000,グラス
91,ロングタンブラー しののめ 金紫,40500,グラス
92,ロングタンブラー しののめ 青,40000,グラス
93,ピアスorイヤリング ほしかがみ<星鏡> 八角籠目 ホログラム,29500,アクセサリー
94,ピアスorイヤリング うすらい<薄氷> 矢来 ホログラム,28500,アクセサリー
95,ピアスorイヤリング ほしかがみ<星鏡> 青,14000,アクセサリー
96,ペンダント chocolate 側面菱 八角籠目 ホログラム,28000,アクセサリー
97,ペンダント 八角籠目 金赤,15000,アクセサリー
98,ペンダント ほしかがみ<星鏡> 両面カット矢来 ホログラム,27000,アクセサリー
99,ペンダント ほしかがみ<星鏡> 青,14300,アクセサリー
100,寸胴ロックグラス ゆめかわ,77000,グラス
101,ぐい呑 ゆめかわ 虹 5,45000,酒器
102,ぐい呑 ゆめかわ 爽 6,45000,酒器
103,ぐい呑 灯<あかり> 金赤 16,24500,酒器
104,ぐい呑 常夜 透明 10,21000,酒器
105,ぐい呑 常夜 金紫×白 11,33500,酒器
106,ロングタンブラー 舞<ひらり> 青 66,46000,グラス
107,オブジェ ペーパーウェイト 金赤 78,27500,オブジェ
108,オブジェ ペーパーウェイト 緑 81,27000,オブジェ
109,つながり ぐい呑み 黒,24000,酒器
110,つながり 切子ぐい呑 金赤×青,34000,酒器
111,常夜 切子ぐい呑 青×金赤 【薄】,33000,酒器
112,常夜 切子ぐい呑 金紫,20000,酒器
113,草紘<くさづな>,15000,花器・その他
114,夢の中<天開ロックグラス> 金赤×オレンジ,60000,グラス
115,切子小鉢 透華 アンバー,27000,食器・小鉢
116,しののめ<東雲>ロックグラス 緑×青,40000,グラス
117,常夜 切子ぐい呑 金赤×青,33000,酒器
118,夢の中 天開ロックグラス オレンジ,38000,グラス
119,切子花瓶 たおやか 金赤,40000,花器・その他
120,切子花瓶 こもれび 緑,30000,花器・その他
121,ゴブレット pink,48000,グラス
122,ゴブレット orange,48000,グラス
123,うたかた<泡沫>天開ロックグラス 青,39000,グラス
